Group 1,Group 2,Permutation Test Threshold,DOTNB Threshold,Sensitivity Average,Sensitivity Standard Deviation,Specificity Average,Specificity Standard Deviation,Precision Average,Precision Standard Deviation,Accuracy Average,Accuracy Standard Deviation,F1 Average,F1 Standard Deviation
30,20,0.025,0.05,0.8096500000000001,0.007261198248223194,0.9965111110999999,0.00047416089222410927,0.9626739817999999,0.004983249570940213,0.9778250000000002,0.0009525550436122504,0.8795416250000001,0.005417202298497261
30,25,0.025,0.05,0.8230999999999999,0.006611437900420076,0.9970388888,0.00024009884681422533,0.9686422726,0.0024826029077115322,0.9796449999999999,0.0006885774385564044,0.8899464150000002,0.004071109157738265
30,30,0.025,0.05,0.83635,0.011367717448986838,0.9979944445000001,0.00038351684192286745,0.9789143651,0.0037840139368925884,0.9818299999999999,0.0009569047322835735,0.9019811970999999,0.005824254569749218
30,35,0.05,0.05,0.8529000000000002,0.006012948989934618,0.9958333333999999,0.00033742358582192824,0.9578881118,0.0033412706171258868,0.9815400000000001,0.0007324995259763189,0.9023410227000002,0.0040684133599746194
30,40,0.025,0.1,0.8669,0.006358721045409477,0.9953277776,0.0004362279774216424,0.9537444929,0.004225377356840181,0.9824850000000002,0.0008409815693580891,0.9082408698999999,0.004556732093266494
30,45,0.025,0.1,0.8721500000000001,0.006302777165662756,0.9956166666999999,0.0006449393562584782,0.956752023,0.006145556271120187,0.9832699999999999,0.0009168787633415167,0.9124788649,0.0048485048247483295
30,50,0.025,0.1,0.87715,0.005911617563934788,0.9956333334000002,0.00034466342819924173,0.9571254536,0.00325364059772023,0.9837849999999999,0.0006671040232061319,0.9153833107999999,0.0036542540994772437
30,55,0.01,0.1,0.85885,0.007863594032699772,0.9979055556,0.0003271546007390176,0.9785400024000002,0.0032165842004059533,0.984,0.0007457285773732355,0.9147739671,0.004298820327575898
30,60,0.01,0.1,0.85725,0.0036912057650583517,0.9980944445000001,0.000335435622627355,0.9803938541000001,0.0034006985839250157,0.9840099999999999,0.000527994107711231,0.914691161,0.0028595930542799223
30,65,0.01,0.1,0.8586500000000001,0.00747235646306513,0.9981833333000001,0.00034151477884599205,0.98132228,0.0034569165839778136,0.9842299999999999,0.0008256983576208507,0.9158801086,0.0046647273712134155
30,70,0.01,0.1,0.8616000000000001,0.008484626620475959,0.9981944443999999,0.00025289829714120936,0.9814903895999999,0.002564106500514795,0.9845349999999999,0.0009067800174243049,0.9176265739,0.005162533005087813
30,75,0.01,0.1,0.8559000000000001,0.0064541115233280365,0.9982499999,0.0003815444707077349,0.9819522999,0.0038126837022362,0.9840150000000001,0.0006178142475246381,0.9145849157999999,0.003527060412322413
30,80,0.01,0.1,0.8577999999999999,0.00917484483671401,0.9984722222,0.0002737360302667045,0.9842124688,0.0028845573438054223,0.9844050000000001,0.0010920037647472907,0.9166519933,0.006144539020178953
30,85,0.01,0.1,0.85305,0.005035705842613652,0.9984611112999999,0.0003415147246212541,0.9840412628999999,0.0034609888652860953,0.98392,0.00047737709296621076,0.9138627662,0.0027152410391674893
30,90,0.01,0.1,0.8559999999999999,0.007067138349038057,0.9985555553000001,0.00019245021802998544,0.9850319473999999,0.0020491624324190006,0.9843,0.0008482007099999595,0.9159850322999998,0.004784268887656001
30,95,0.025,0.1,0.85885,0.008537661662695865,0.9972777777999999,0.0006661520750592384,0.9723113797,0.006504420911136947,0.9834350000000001,0.0009612058399045864,0.9120328784,0.005281968550510882
30,100,0.025,0.1,0.8563000000000001,0.005308274463305164,0.9972055557999999,0.0005051517185070532,0.9714957146,0.004939218011926918,0.9831150000000001,0.000613754384460485,0.9102521160000002,0.003330102278478874
35,5,0.1,0.025,0.707,0.01186498115370513,0.9867444444,0.0008769257433765555,0.8556313082000001,0.009148961394937273,0.95877,0.0016605220062779363,0.774213864,0.00974400210066449
35,10,0.1,0.025,0.7664500000000001,0.009956711862412768,0.9942388888,0.0006988380326548249,0.9367069596000002,0.006928714262508233,0.9714600000000001,0.0009497952995836034,0.8430159604,0.005853579847315967
35,15,0.05,0.05,0.8027000000000001,0.004779586221049309,0.9947111111,0.0005049820879900102,0.9440342224,0.005143614097205791,0.9755100000000001,0.0007640535176136282,0.8676415073999999,0.004159869667376772
35,20,0.025,0.05,0.8106500000000001,0.010658981606555514,0.9969777778,0.00035832262171766303,0.967559277,0.003574303209577411,0.9783449999999998,0.000994275280459742,0.8821398840000001,0.006089376175510717
35,25,0.05,0.05,0.8335999999999999,0.007530677998102899,0.9960611111000001,0.0005957381838327318,0.9592360471000001,0.005958342085649709,0.979815,0.0009516214233261535,0.8919945949000001,0.005253232799580214
35,30,0.01,0.1,0.8391500000000001,0.007023966907034176,0.9971277779000001,0.0004366995192304437,0.9701269844,0.0044468548416806515,0.98133,0.0008573862088412227,0.8998825462000001,0.004815029542915577
35,35,0.025,0.1,0.8592000000000001,0.011331372379372233,0.9960777777999998,0.0005482230369264553,0.9605699186000001,0.005202914893517226,0.9823899999999999,0.0011313217441952113,0.9070165590999999,0.00642930567030906
35,40,0.025,0.1,0.8708,0.008052604823561398,0.9955944445,0.0004124685389341886,0.9564744277999999,0.003750012417479087,0.983115,0.0007238208802367226,0.9116027785,0.004133318498950133
35,45,0.025,0.1,0.8776999999999999,0.006888799282571342,0.9960166666000001,0.0007056745139340578,0.9608060203000001,0.00657333363700818,0.9841849999999999,0.000830010040099931,0.9173486468999998,0.004400440748357747
35,50,0.01,0.1,0.8637499999999999,0.006232753983771727,0.9978222223,0.0003442651074354777,0.9778165767999999,0.003464923195798192,0.984415,0.000758305860308215,0.9172402515,0.004205638361145352
35,55,0.01,0.1,0.8692,0.007114929530376403,0.9980388889,0.00031973303185606954,0.9801084051,0.0031533718163876336,0.985155,0.0007410390602990344,0.9213119038999998,0.004179681667512483
35,60,0.01,0.1,0.8728999999999999,0.006488451279003323,0.9981722222,0.00016656369329266953,0.9815033034999999,0.001675118593873016,0.9856450000000001,0.0006881739121278147,0.9240106345999999,0.00388116148453617
35,65,0.025,0.1,0.8811500000000001,0.007382599662569934,0.9966722221,0.00027020538624266625,0.9671305017,0.002609569535599631,0.9851199999999999,0.0007944949478896869,0.9221260153999999,0.0044073328466575495
35,70,0.01,0.1,0.8679500000000001,0.0070885275073333765,0.9983833332,0.00025586414755264937,0.9835191464999999,0.0025371153541540376,0.9853400000000001,0.0007283161706597344,0.9221122858000002,0.0041226524636965665
35,75,0.025,0.1,0.8773,0.003917198545446013,0.9971,0.00036925743897932035,0.9711194867999999,0.003584335538279511,0.98512,0.0005318730007143533,0.9218225587000001,0.0028363131598267933
35,80,0.01,0.1,0.86715,0.007371303216603626,0.9984555556,0.000334155289462925,0.9842319699,0.0033652006722298404,0.9853249999999999,0.000804932709402877,0.9219722864000002,0.00452102212905916
35,85,0.025,0.1,0.8781000000000001,0.008441958698469603,0.9972499999999999,0.0004866177479783885,0.9725892312000001,0.004839877365581476,0.9853350000000001,0.0011022829844362972,0.9229173733,0.0059722316096029815
35,90,0.01,0.1,0.8576499999999999,0.0054265294822954955,0.9987333332999999,0.00021243889010779085,0.9868787885,0.0022242693426401334,0.984625,0.0006754628043053084,0.9177318742999999,0.003785853077817652
35,95,0.01,0.1,0.8643000000000001,0.006646636576327739,0.9986888890000001,0.0002823086360366948,0.9865388184,0.002866634366723772,0.98525,0.0007011894655987466,0.9213687831999999,0.003965344901410867
35,100,0.01,0.1,0.8644000000000001,0.008349318002753923,0.9986333334000002,0.0002835210552178095,0.9859837537999999,0.0028368227977465673,0.98521,0.0007967991521637434,0.9211735745,0.004567952895696787
40,5,0.1,0.025,0.6973999999999999,0.008952963506881724,0.9874777779,0.0008127921809986365,0.8609167282,0.008148052696228968,0.9584699999999999,0.0012618769089468654,0.7705511375999999,0.00730783082225429
40,10,0.05,0.05,0.7724,0.013040109065665245,0.9930055555999999,0.0006653537726642114,0.9247323930999999,0.005802186659388147,0.9709450000000001,0.0009426469823498682,0.8416429227,0.006425789364033722
40,15,0.05,0.05,0.8034000000000001,0.00915241316083722,0.9950166665000001,0.0005696063828758887,0.9471658886000001,0.005566246922855823,0.9758549999999999,0.0009208842369037452,0.8693430426,0.005479695355145883
40,20,0.025,0.05,0.80915,0.009225718881956493,0.9975277776999999,0.0003023116028416222,0.9732416733999999,0.0032174339915092744,0.97869,0.0009834180754445664,0.8836173301000001,0.0058801669517352965
40,25,0.05,0.05,0.8435500000000001,0.007425369425901391,0.9962944444999999,0.0004941703353114516,0.9619750358000001,0.004992418966606649,0.9810199999999998,0.000995880403350608,0.8988654718000001,0.0054989749171912555
40,30,0.05,0.05,0.8454499999999999,0.004597402648356044,0.9963777778,0.0005249600381943907,0.9628885051999999,0.005252496406970905,0.9812850000000001,0.0007619601914360986,0.9003483309,0.004064666455272001
40,35,0.01,0.1,0.8542500000000001,0.006038073644245606,0.9976277777,0.000394622589053854,0.9756294899,0.003961998189991013,0.9832899999999999,0.0007093815773067672,0.9109013238999999,0.003945402249677985
40,40,0.025,0.1,0.8717,0.00502880591083895,0.9965833334,0.00040083063618282,0.9659432973000002,0.0038128442751146595,0.9840950000000002,0.0005454101412902333,0.9163932763,0.00297636721204159
40,45,0.025,0.1,0.88515,0.005431645954752391,0.9959444445999999,0.0003731377004328088,0.9604073257,0.003503438289943484,0.9848649999999999,0.0006381614215854929,0.9212343341,0.003448147422474603
40,50,0.025,0.1,0.8869999999999999,0.006123724356957951,0.9961388889,0.00027121881209272016,0.9623097398,0.0024894102307175003,0.985225,0.0005745771391979293,0.9231082732000001,0.003208931421348041
40,55,0.025,0.1,0.8865500000000001,0.004010056802036051,0.9965611110999999,0.0004077860498034603,0.9662860242999999,0.003808642774264513,0.9855599999999999,0.00042544094772365657,0.9246922243,0.0022569363012620164
40,60,0.01,0.1,0.8778499999999999,0.006472377203676128,0.9981666666999999,0.0003533107939858418,0.9815621394999999,0.003495698397515968,0.9861350000000002,0.000708303920957987,0.9267997229999999,0.003918130055207739
40,65,0.01,0.1,0.87525,0.007424621202458747,0.9983833335,0.00020361956679947442,0.9836584172999998,0.0019613705656534213,0.98607,0.0006675827039900579,0.9262741114,0.003834623201360702
40,70,0.01,0.1,0.8755000000000001,0.008127456893491064,0.9986055556,0.00022898677458661596,0.9858691287999999,0.0022998141916292535,0.9862949999999999,0.0008648859912021736,0.9273950858,0.004852171944741242
40,75,0.01,0.1,0.8801500000000001,0.007098708802779998,0.9986944443999999,0.0003335904399390181,0.9868373607,0.003305057741140932,0.9868400000000002,0.0007449086446597888,0.9304287675999999,0.00414839369470055
40,80,0.01,0.1,0.8759,0.006081849134012499,0.9987277777000001,0.0002598538491310828,0.9870958713,0.00264091468864931,0.986445,0.0007319874012273495,0.9281711901000002,0.004043948758859991
40,85,0.01,0.1,0.8721,0.005915140648276139,0.9986444444,0.00021942682348397496,0.9862111898999999,0.0021707446488516005,0.9859899999999999,0.0005695027070465415,0.9256400605999999,0.0032396518192755854
40,90,0.01,0.1,0.87355,0.008623127816131058,0.9985611112999999,0.0002752353333999689,0.9853933196,0.0027890152350080427,0.9860599999999999,0.0009389118997837745,0.9260879638999999,0.00526344788578828
40,95,0.01,0.1,0.8691500000000001,0.004503393781977701,0.9987277776999999,0.00013211874621051227,0.9870007707999999,0.0013154819303454893,0.9857699999999999,0.00042700507413065826,0.9243273754999999,0.0024503213239554715
40,100,0.01,0.1,0.8738000000000001,0.00745430524372773,0.9988777778,0.00021722788789952025,0.9885709777999999,0.002213599968045394,0.98637,0.0008373901254625852,0.9276360837000001,0.004677815789285478
45,5,0.1,0.025,0.6933,0.00952832036032,0.9887277778,0.0009673864907556951,0.8723862523999999,0.010327962937728578,0.9591850000000001,0.0015629477136345784,0.7725768389999998,0.008900877989018017
45,10,0.05,0.05,0.7704500000000001,0.00916954500264631,0.9934888889,0.0006987150937022944,0.9293791734999999,0.006817731165760112,0.9711850000000002,0.000912886143563977,0.8424404682999999,0.0054866745298142675
45,15,0.1,0.05,0.8248,0.01049126620893143,0.9921666666,0.0005399030078519547,0.9212739119999999,0.0050372745130754445,0.97543,0.001123288822065712,0.8703373148999999,0.006476175584653845
45,20,0.05,0.05,0.82025,0.008910823630718863,0.9962555557,0.0006718930703188355,0.9605886646,0.00676599497983755,0.9786550000000002,0.0009699513160749679,0.8848521779,0.0055258078185639135
45,25,0.05,0.05,0.8392,0.007126632366615317,0.9972277778999998,0.0004985918688815145,0.9711491318000001,0.005090242115335256,0.981425,0.0008515508727544576,0.9003470063,0.004765621623948435
45,30,0.025,0.1,0.8598000000000001,0.0071848606264994595,0.9952555557,0.00042889461423939863,0.9527055566,0.004021360330964943,0.9817099999999999,0.0007437890979452737,0.9038523992,0.004165039967159519
45,35,0.025,0.1,0.87155,0.005514878864389393,0.9957499999000001,0.00046499560081705773,0.9579709929,0.004445226489466781,0.9833300000000001,0.0007439384681843336,0.9127093247000001,0.0039754795560863355
45,40,0.01,0.1,0.86545,0.008361452558550388,0.9980333333000001,0.0002918649527047465,0.9799855812,0.002727324722655423,0.984775,0.0006165540437698058,0.9191330899000001,0.0037118813935859414
45,45,0.025,0.1,0.8767000000000001,0.005255684752933913,0.9971888888,0.0004552692855437564,0.971962389,0.004463292472187565,0.98514,0.0007478859093025791,0.9218683677999999,0.004002684558344905
45,50,0.025,0.1,0.8906500000000002,0.004643095231990549,0.9962444445,0.0005113257788594958,0.9634532359,0.004864457081925266,0.9856849999999999,0.0007306960152256869,0.9256144465999998,0.003809862122507148
45,55,0.025,0.1,0.89455,0.008581148589268865,0.9965388889000002,0.00029403071398803837,0.9663577452000001,0.002748384850910464,0.9863399999999999,0.0008598449472627904,0.9290472173000002,0.004717387734295885
45,60,0.01,0.1,0.8778499999999999,0.004737849957757427,0.9984055555000001,0.00019953654636027532,0.9839208323000002,0.0019721562441695466,0.9863499999999998,0.00047900359543998945,0.9278564180999999,0.0026818670529254046
45,65,0.01,0.1,0.8851999999999999,0.007775317071062473,0.9986222222000001,0.00023541111166486953,0.9861889953999998,0.002341836563776291,0.9872800000000002,0.0008104182733488782,0.9329529817000001,0.0044969734993524635
45,70,0.01,0.1,0.88275,0.005513871396557758,0.9985166666999999,0.00011726781688942382,0.9851025887,0.001171014941382808,0.9869399999999999,0.0005650958620741529,0.9311139064,0.0031719040332833614
45,75,0.01,0.1,0.8840499999999999,0.005866335217909819,0.9986722222000001,0.00023635615519557467,0.9866647174000001,0.0023536250259166116,0.9872099999999999,0.0006628222486710163,0.9325341463000001,0.003653535945116935
45,80,0.01,0.1,0.88045,0.006002082971769061,0.9987333332999999,0.0002793779284164037,0.9872300797,0.002757806761837813,0.9869049999999999,0.0005624598751120846,0.9307736599,0.0031639668764732163
45,85,0.01,0.1,0.8806499999999999,0.003951441368524767,0.9987722224000001,0.0003158479444378248,0.9876204978999998,0.0031166725201229725,0.9869600000000001,0.0004101490244072509,0.9310648617999998,0.002243311858368321
45,90,0.01,0.1,0.8809499999999998,0.006116689373254836,0.9988944445,0.0003092647848255091,0.9888391232,0.0030815466251679505,0.9871000000000001,0.0006798692684790276,0.9317702561999999,0.0037662844676993614
45,95,0.025,0.1,0.8875,0.007272474743090483,0.9978333333,0.0003131763703690877,0.9785068039,0.0030573396136250714,0.9868,0.0007919736247011046,0.9307692530999999,0.004351245027717894
45,100,0.01,0.1,0.8733500000000001,0.006342318188170611,0.9990666667000001,0.00028424561530794796,0.9904717616,0.0029025911696604853,0.986495,0.0007896729280742165,0.9282226075000001,0.004346491366319251
